Values
Akkadian
Algonquian
Amharic
Ancient Greek
Anglo-Norman
Anglophone
Arabic
Aramaic
Armenian
Bengali
Bosnian
Bulgarian
Chinese
Croation
Czech
Danish
English
Estonian
Ethiopic
Finnish
French
German
Gothic
Greek
Haitian Creole
Hebrew
Hindi
Hungarian
Icelandic
Igbo
Indonesian
Irish
Italian
Japanese
Kalâtdlisut 
Korean
Latin
Lithuanian
Middle English
Middle Scotts
Norse
Norwegian
Old English
Old French
Old Norse
Old Scotts
Patristic/Early Byzantine
Persian
Polish
Portuguese
Tuscan
Quechua
Russian
Scottish Gaelic
Spanish
Swedish
Swiss German
Syriac
Turkish
Ukrainian
Urdu
Welsh
